Experiment,Model,Reward,Efficiency (%),Regime,Capacity,Runs
3,GNEURALUCB,5298.99,95.6,Tb,S2,5-run 
4,GNEURALUCB,6823.78,97.9,Tb,S2,5-run 
5,GNEURALUCB,8134.81,97.5,Tb,S2,5-run 
1,GNEURALUCB,2685.34,96.4,Tb,S2,5-run 
2,GNEURALUCB,4063.59,97.2,Tb,S2,5-run 
3,GNEURALUCB,5405.85,97.0,Tb,S2,5-run 
4,GNEURALUCB,6849.34,98.3,Tb,S2,5-run 
5,GNEURALUCB,8197.16,98.0,Tb,S2,5-run 
1,EXPNEURALUCB,2481.24,89.9,T,S1,3-run 
2,EXPNEURALUCB,3175.2,76.6,T,S1,3-run 
3,EXPNEURALUCB,5148.42,93.2,T,S1,3-run 
1,EXPNEURALUCB,2022.55,73.4,T,S1,3-run 
2,EXPNEURALUCB,3013.16,72.8,T,S1,3-run 
3,EXPNEURALUCB,4930.2,89.4,T,S1,3-run 
1,EXPNEURALUCB,1956.05,70.9,T,S1,3-run 
2,EXPNEURALUCB,3220.44,77.7,T,S1,3-run 
3,EXPNEURALUCB,4866.47,88.2,T,S1,3-run 
1,EXPNEURALUCB,2252.8,81.4,T,S1,3-run 
2,EXPNEURALUCB,3408.59,82.5,T,S1,3-run 
3,EXPNEURALUCB,4961.61,89.5,T,S1,3-run 
1,EXPNEURALUCB,2643.35,94.8,T,S1,3-run 
2,EXPNEURALUCB,3456.24,82.7,T,S1,3-run 
3,EXPNEURALUCB,5321.97,95.5,T,S1,3-run 
1,EXPNEURALUCB,2490.94,90.2,T,S1,5-run 
2,EXPNEURALUCB,3322.8,80.2,T,S1,5-run 
3,EXPNEURALUCB,4445.28,80.5,T,S1,5-run 
4,EXPNEURALUCB,5546.22,80.3,T,S1,5-run 
5,EXPNEURALUCB,7688.61,92.8,T,S1,5-run 
1,EXPNEURALUCB,2481.67,90.0,T,S1,5-run 
2,EXPNEURALUCB,3404.53,82.4,T,S1,5-run 
3,EXPNEURALUCB,4566.1,82.9,T,S1,5-run 
4,EXPNEURALUCB,6190.99,89.9,T,S1,5-run 
5,EXPNEURALUCB,7501.37,90.7,T,S1,5-run 
1,EXPNEURALUCB,2449.7,88.7,T,S1,5-run 
2,EXPNEURALUCB,3299.32,79.4,T,S1,5-run 
3,EXPNEURALUCB,4423.58,80.1,T,S1,5-run 
4,EXPNEURALUCB,6251.82,90.5,T,S1,5-run 
5,EXPNEURALUCB,7628.19,92.0,T,S1,5-run 
1,EXPNEURALUCB,2448.81,89.3,T,S1,5-run 
2,EXPNEURALUCB,3203.4,78.5,T,S1,5-run 
3,EXPNEURALUCB,3851.18,69.1,T,S1,5-run 
4,EXPNEURALUCB,5000.23,72.4,T,S1,5-run 
5,EXPNEURALUCB,7643.54,91.5,T,S1,5-run 
1,EXPNEURALUCB,2648.19,95.0,T,S1,5-run 
2,EXPNEURALUCB,4021.14,96.2,T,S1,5-run 
3,EXPNEURALUCB,4684.9,84.0,T,S1,5-run 
4,EXPNEURALUCB,5732.03,82.3,T,S1,5-run 
5,EXPNEURALUCB,8236.09,98.5,T,S1,5-run 
1,EXPNEURALUCB,2510.53,90.9,T,S1.5,5-run 
2,EXPNEURALUCB,3862.46,93.2,T,S1.5,5-run 
3,EXPNEURALUCB,5120.26,92.7,T,S1.5,5-run 
4,EXPNEURALUCB,6469.12,93.7,T,S1.5,5-run 
5,EXPNEURALUCB,7559.87,91.2,T,S1.5,5-run 
1,EXPNEURALUCB,2494.13,90.5,T,S1.5,5-run 
2,EXPNEURALUCB,3786.6,91.6,T,S1.5,5-run 
3,EXPNEURALUCB,4659.56,84.5,T,S1.5,5-run 
4,EXPNEURALUCB,6062.0,88.0,T,S1.5,5-run 
5,EXPNEURALUCB,6708.11,81.2,T,S1.5,5-run 
1,EXPNEURALUCB,2540.21,92.0,T,S1.5,5-run 
2,EXPNEURALUCB,3651.29,88.2,T,S1.5,5-run 
3,EXPNEURALUCB,4765.26,86.3,T,S1.5,5-run 
4,EXPNEURALUCB,6182.46,89.4,T,S1.5,5-run 
5,EXPNEURALUCB,7797.52,94.0,T,S1.5,5-run 
1,EXPNEURALUCB,2420.73,88.2,T,S1.5,5-run 
2,EXPNEURALUCB,3778.86,91.4,T,S1.5,5-run 
3,EXPNEURALUCB,4379.0,79.1,T,S1.5,5-run 
4,EXPNEURALUCB,6075.58,88.7,T,S1.5,5-run 
5,EXPNEURALUCB,6612.08,81.0,T,S1.5,5-run 
1,EXPNEURALUCB,2334.41,83.8,T,S1.5,5-run 
2,EXPNEURALUCB,3396.28,81.2,T,S1.5,5-run 
3,EXPNEURALUCB,5395.65,96.8,T,S1.5,5-run 
4,EXPNEURALUCB,6793.22,97.5,T,S1.5,5-run 
5,EXPNEURALUCB,7354.57,88.0,T,S1.5,5-run 
1,EXPNEURALUCB,2174.17,78.7,T,S2,5-run 
2,EXPNEURALUCB,3716.44,89.7,T,S2,5-run 
3,EXPNEURALUCB,4335.25,78.5,T,S2,5-run 
4,EXPNEURALUCB,6269.8,90.8,T,S2,5-run 
5,EXPNEURALUCB,7118.88,85.9,T,S2,5-run 
1,EXPNEURALUCB,2519.8,91.4,T,S2,5-run 
2,EXPNEURALUCB,3719.42,90.0,T,S2,5-run 
3,EXPNEURALUCB,4777.96,86.7,T,S2,5-run 
4,EXPNEURALUCB,5841.28,84.8,T,S2,5-run 
5,EXPNEURALUCB,7061.2,85.4,T,S2,5-run 
1,EXPNEURALUCB,2536.12,91.9,T,S2,5-run 
2,EXPNEURALUCB,3727.59,90.0,T,S2,5-run 
3,EXPNEURALUCB,4958.65,89.7,T,S2,5-run 
4,EXPNEURALUCB,5909.52,85.7,T,S2,5-run 
5,EXPNEURALUCB,7042.95,85.0,T,S2,5-run 
1,EXPNEURALUCB,2212.01,82.0,T,S2,5-run 
2,EXPNEURALUCB,4023.65,96.2,T,S2,5-run 
3,EXPNEURALUCB,5376.74,96.7,T,S2,5-run 
4,EXPNEURALUCB,6910.58,99.2,T,S2,5-run 
